Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;222110;LCV diesel M+N1-I Euro-1;diesel;M+N1-I;LCV D Euro-1;396175.1563;0.000276617;12.47020912;;;1.301177263;;;12.48837757;;;0.998800278;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;222130;LCV diesel M+N1-I Euro-3;diesel;M+N1-I;LCV D Euro-3;365252.7813;0.002307357;12.4886837;;;2.573143721;;;12.48837757;;;0.998800278;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318.625;0.0006989;12.48864841;;;1.634492159;;;12.48837757;;;0.998800278;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;259159.5625;0.004381684;12.48871803;;;2.147957563;;;12.48837757;;;0.998800278;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894.375;0.001994371;12.48169613;;;1.691872835;;;12.48837757;;;0.998800278;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;302471.9375;0.02366841;12.47808456;;;2.193641901;;;12.48837757;;;0.998800278;;;¯Germany;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423110;RT <=7.5t Euro-I;diesel;RT ²7,5t;HGV D Euro-I;790268;0.001992239;38.18581009;38.18581009;38.18581009;1.166544795;1.172059655;1.167422295;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423130;RT <=7.5t Euro-III;diesel;RT ²7,5t;HGV D Euro-III;686009.8125;0.016024211;38.18581009;38.18581009;38.18581009;1.146217823;1.136229873;1.162809372;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423210;RT >7,5-12t Euro-I;diesel;RT >7,5-12t;HGV D Euro-I;1007905.438;0.000396565;38.18097687;38.18581009;38.17131805;1.189321756;1.147903323;1.246311665;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423230;RT >7,5-12t Euro-III;diesel;RT >7,5-12t;HGV D Euro-III;870967.8125;0.003007169;38.18574524;38.18581009;38.18561935;1.31182611;1.288277745;1.345042825;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
