Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted;EFA_WTT;EFA_WTT_km;EFA_WTW;EFA_WTW_km
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,5-6h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.345658451;1.191575408;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,6-7h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;6.612593174;1.248422623;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,6-7h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.362149;1.248422623;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,7-8h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;6.91369915;1.305269837;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,7-8h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.378639549;1.305269837;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,8-9h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;7.214805126;1.362117052;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,8-9h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.395130098;1.362117052;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,9-10h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;7.515911579;1.418964148;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,9-10h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.411620647;1.418964148;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,10-11h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;7.817017555;1.475811362;;;;;;
