bin	count
184838.0	1.0
186008.0	1.0
186166.0	1.0
186916.0	1.0
190514.0	1.0
191612.0	1.0
191798.0	1.0
191804.0	1.0
192182.0	1.0
193478.0	1.0
194826.0	1.0
195014.0	1.0
195148.0	1.0
200794.0	1.0
200986.0	1.0
201484.0	1.0
204260.0	1.0
206036.0	1.0
206834.0	1.0
208296.0	1.0
211098.0	1.0
211682.0	1.0
211872.0	1.0
211878.0	1.0
215934.0	1.0
217724.0	1.0
218308.0	1.0
218472.0	1.0
219134.0	1.0
221052.0	1.0
221230.0	1.0
224204.0	1.0
224510.0	1.0
224612.0	1.0
228638.0	1.0
234058.0	1.0
238964.0	1.0
239280.0	1.0
240160.0	1.0
240224.0	1.0
241438.0	1.0
242988.0	1.0
243022.0	1.0
244970.0	1.0
249090.0	1.0
249716.0	1.0
249926.0	1.0
252776.0	1.0
253252.0	1.0
253832.0	1.0
254578.0	1.0
254626.0	1.0
256544.0	1.0
258592.0	1.0
259400.0	1.0
259622.0	1.0
264018.0	1.0
265702.0	1.0
265718.0	1.0
266114.0	1.0
266646.0	1.0
267022.0	1.0
267230.0	1.0
268294.0	1.0
268926.0	1.0
269712.0	1.0
274472.0	1.0
275512.0	1.0
275642.0	1.0
276326.0	1.0
281548.0	1.0
283180.0	1.0
283536.0	1.0
284520.0	1.0
284608.0	1.0
286058.0	1.0
286232.0	1.0
287546.0	1.0
287664.0	1.0
288818.0	1.0
290446.0	1.0
290670.0	1.0
291586.0	1.0
291896.0	1.0
294912.0	1.0
295582.0	1.0
296680.0	1.0
297772.0	1.0
301300.0	1.0
301620.0	1.0
303432.0	1.0
306684.0	1.0
306742.0	1.0
308424.0	1.0
310434.0	1.0
311404.0	1.0
316964.0	1.0
318572.0	1.0
318664.0	1.0
320698.0	1.0
320776.0	1.0
322954.0	1.0
323834.0	1.0
323966.0	1.0
328338.0	1.0
330246.0	1.0
330338.0	1.0
330446.0	1.0
331116.0	1.0
337624.0	1.0
340130.0	1.0
340184.0	1.0
340440.0	1.0
343416.0	1.0
344354.0	1.0
345106.0	1.0
345704.0	1.0
346446.0	1.0
346750.0	1.0
347630.0	1.0
348978.0	1.0
350004.0	1.0
350434.0	1.0
352448.0	1.0
353266.0	1.0
354056.0	1.0
354714.0	1.0
356130.0	1.0
356522.0	1.0
357292.0	1.0
359114.0	1.0
359320.0	1.0
360964.0	1.0
361624.0	1.0
362024.0	1.0
364254.0	1.0
364848.0	1.0
366016.0	1.0
366038.0	1.0
366122.0	1.0
366810.0	1.0
367292.0	1.0
367460.0	1.0
367760.0	1.0
368768.0	1.0
372954.0	1.0
373132.0	1.0
374342.0	1.0
374588.0	1.0
375212.0	1.0
376856.0	1.0
377056.0	1.0
377214.0	1.0
377336.0	1.0
377440.0	1.0
378826.0	1.0
379042.0	1.0
379574.0	1.0
380174.0	1.0
380188.0	1.0
380214.0	1.0
380290.0	1.0
380292.0	1.0
380302.0	1.0
380316.0	1.0
380332.0	29.0
380342.0	5.0
380362.0	8.0
380420.0	1.0
380678.0	1.0
380680.0	1.0
382000.0	1.0
382858.0	1.0
386102.0	1.0
386828.0	1.0
386946.0	1.0
387006.0	1.0
387130.0	1.0
388360.0	1.0
388406.0	1.0
389122.0	1.0
389274.0	1.0
390304.0	1.0
390786.0	1.0
392190.0	1.0
393322.0	1.0
394880.0	1.0
395624.0	1.0
395826.0	1.0
396842.0	1.0
396888.0	1.0
396904.0	1.0
397932.0	1.0
400802.0	1.0
401960.0	1.0
403136.0	1.0
403472.0	1.0
404112.0	1.0
404350.0	1.0
404710.0	1.0
405012.0	1.0
405528.0	1.0
405672.0	1.0
405674.0	1.0
406074.0	1.0
406442.0	1.0
408020.0	1.0
408194.0	1.0
408994.0	1.0
409412.0	1.0
410024.0	1.0
410440.0	1.0
410786.0	1.0
411162.0	1.0
411434.0	1.0
414334.0	1.0
416904.0	1.0
419168.0	1.0
422084.0	1.0
422388.0	1.0
423404.0	1.0
424356.0	1.0
427458.0	1.0
428714.0	1.0
428806.0	1.0
430288.0	1.0
431180.0	1.0
432452.0	1.0
432790.0	1.0
433478.0	1.0
435826.0	1.0
437664.0	1.0
441574.0	1.0
444158.0	1.0
445070.0	1.0
445982.0	1.0
446094.0	1.0
448288.0	1.0
449506.0	1.0
451826.0	1.0
451974.0	1.0
452214.0	1.0
453000.0	1.0
453638.0	1.0
453826.0	1.0
459012.0	1.0
463754.0	1.0
464862.0	1.0
467072.0	1.0
467966.0	1.0
470112.0	1.0
474574.0	1.0
477028.0	1.0
477094.0	1.0
480210.0	1.0
481884.0	1.0
483336.0	1.0
485578.0	1.0
486782.0	1.0
490540.0	1.0
491732.0	1.0
494118.0	1.0
494400.0	1.0
494978.0	1.0
497834.0	1.0
498640.0	1.0
499736.0	1.0
500928.0	1.0
509228.0	1.0
510698.0	1.0
511374.0	1.0
513538.0	1.0
514178.0	1.0
514618.0	1.0
516472.0	1.0
519262.0	1.0
520500.0	1.0
521668.0	1.0
521918.0	1.0
523406.0	1.0
523460.0	1.0
524450.0	1.0
525850.0	1.0
526222.0	1.0
528116.0	1.0
528576.0	1.0
528884.0	1.0
529352.0	1.0
529830.0	1.0
532984.0	1.0
534170.0	1.0
536642.0	1.0
537272.0	1.0
537376.0	1.0
538016.0	1.0
539476.0	1.0
539794.0	1.0
540460.0	1.0
540742.0	1.0
547468.0	1.0
548298.0	1.0
554184.0	1.0
557986.0	1.0
558188.0	1.0
559548.0	1.0
