Wohnort;Wohnort-Name;Arbeitsort;Arbeitsort-Name;Insgesamt;Männer;Frauen;Deutsche;"Ausländer + Sonstige";Auszubildende;
;;094;Oberfranken;108;79;29;104;4;*;
;;09562;Erlangen, Stadt;18;10;8;*;*;*;
;;09563;Fürth, Stadt;15;10;5;15;-;*;
;;09564;Nürnberg, Stadt;128;97;31;117;11;4;
;;09574;Nürnberger Land;13;*;*;*;*;-;
;;095;Übrige Kreise (Regierungsbezirk);35;26;9;32;3;3;
;;095;Mittelfranken;209;155;54;192;17;9;
;;09662;Schweinfurt, Stadt;14;11;3;14;-;-;
;;09663;Würzburg, Stadt;17;13;4;*;*;-;
;;09671;Aschaffenburg;21;11;10;18;3;-;
;;09673;Rhön-Grabfeld;17;14;3;17;-;*;
;;09677;Main-Spessart;12;9;3;12;-;*;
;;09679;Würzburg;12;7;5;*;*;*;
;;096;Übrige Kreise (Regierungsbezirk);31;23;8;*;*;*;
;;096;Unterfranken;124;88;36;117;7;5;
;;09761;Augsburg, Stadt;11;*;*;*;*;-;
;;09772;Augsburg;11;11;-;*;*;-;
;;09774;Günzburg;10;10;-;10;-;-;
;;097;Übrige Kreise (Regierungsbezirk);35;30;5;31;4;*;
;;097;Schwaben;67;60;7;60;7;*;
;;09;Bayern;1,050;761;289;930;120;27;
;;100;Saarland;17;13;4;14;3;*;
;;10;Saarland;17;13;4;14;3;*;
;;11000;Berlin, Stadt;553;336;217;497;56;18;
;;110;Berlin;553;336;217;497;56;18;
;;11;Berlin;553;336;217;497;56;18;
;;12052;Cottbus, Stadt;16;9;7;16;-;-;
;;12054;Potsdam, Stadt;64;28;36;54;10;*;
;;12061;Dahme-Spreewald;13;8;5;*;*;*;
;;12065;Oberhavel;11;*;*;11;-;*;
;;12066;Oberspreewald-Lausitz;10;6;4;10;-;*;
;;12069;Potsdam-Mittelmark;19;9;10;*;*;-;
;;12072;Teltow-Fläming;40;34;6;34;6;-;
;;120;Übrige Kreise (Regierungsbezirk);59;36;23;51;8;*;
;;120;Brandenburg;232;140;92;205;27;6;
;;12;Brandenburg;232;140;92;205;27;6;
;;13003;Rostock, Hansestadt;12;8;4;12;-;-;
