Schluessel;Bezeichnung;Wohnort;Männer;Frauen;Deutsche;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;Wohnort gleich Arbeitsort;Einpendler;Auspendler;Zahl der Betriebe;Ahnung;was das ist
1053045;Grove;100;50;50;*;*;*;5;23;*;3;*;97;*;;
1053046;Gudow;739;429;310;675;64;23;62;146;215;56;159;683;42;;
1053047;Gülzow;573;311;262;557;16;17;43;93;87;25;62;548;16;;
1053048;Güster;514;264;250;489;24;12;29;124;162;41;121;473;34;;
1053049;Hamfelde;205;95;110;198;7;4;9;45;23;5;18;200;7;;
1053050;Hamwarde;362;199;163;354;8;5;28;72;54;15;39;347;13;;
1053051;Harmsdorf;123;62;61;123;;4;4;28;52;3;49;120;9;;
1053052;Havekost;98;47;51;*;*;;9;12;*;6;*;92;7;;
1053053;Hohenhorn;207;118;89;194;13;3;7;32;82;14;68;193;16;;
1053054;Hollenbek;178;98;80;*;*;10;12;40;*;5;*;173;*;;
1053056;Hornbek;72;36;36;*;*;*;4;23;*;*;*;*;*;;
1053057;Horst;97;51;46;94;3;3;4;29;13;5;8;92;6;;
1053058;Juliusburg;53;23;30;53;;3;*;10;*;*;*;*;*;;
1053059;Kankelau;88;45;43;84;4;3;*;21;*;*;*;*;*;;
1053060;Kasseburg;233;116;117;228;5;*;20;45;22;6;16;227;10;;
1053061;Kastorf;518;273;245;488;30;9;46;100;408;60;348;458;42;;
1053062;Kittlitz;101;55;46;97;4;*;5;27;9;5;4;96;7;;
1053064;Klein Pampau;266;138;128;262;3;4;19;55;38;5;33;261;9;;
1053066;Klein Zecher;91;45;46;91;;5;4;17;12;7;5;84;7;;
1053067;Klempau;264;146;118;257;7;10;21;54;49;14;35;250;12;;
1053068;Klinkrade;283;133;150;*;*;6;14;64;7;4;3;279;4;;
1053069;Koberg;346;177;169;336;10;6;22;67;60;16;44;330;12;;
1053070;Köthel;130;67;63;125;5;3;15;36;80;15;65;115;10;;
1053071;Kollow;254;130;124;249;5;8;21;58;52;5;47;249;8;;
1053072;Kröppelshagen-Fahrendorf;490;255;235;471;19;5;20;110;101;27;74;463;24;;
1053073;Krüzen;120;61;59;*;*;8;6;27;40;7;33;113;9;;
