Schluessel;Bezeichnung;Wohnort;Männer;Frauen;Deutsche;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;Wohnort gleich Arbeitsort;Einpendler;Auspendler;Zahl der Betriebe;Ahnung;was das ist
9183127;Mettenheim;1,543;841;702;1,436;107;83;130;259;518;95;421;1,448;67;;
9183128;Mühldorf a.Inn, Stadt;8,588;4,721;3,867;7,424;1,162;243;753;1,560;12,052;3,259;8,761;5,329;717;;
9183129;Neumarkt-Sankt Veit, Stadt;2,384;1,307;1,077;2,127;255;115;228;466;1,329;556;772;1,828;168;;
9183130;Niederbergkirchen;483;244;239;469;14;35;38;87;102;41;61;442;32;;
9183131;Niedertaufkirchen;607;361;246;588;19;44;61;104;133;46;87;561;32;;
9183132;Oberbergkirchen;611;341;270;597;14;39;72;131;218;75;143;536;43;;
9183134;Oberneukirchen;374;230;144;357;17;28;50;56;113;47;66;327;22;;
9183135;Obertaufkirchen;1,140;665;475;1,024;116;66;130;186;491;143;347;997;66;;
9183136;Polling;1,245;680;565;1,196;49;56;106;270;1,103;176;926;1,069;91;;
9183138;Rattenkirchen;433;234;199;419;14;18;66;67;163;36;127;397;32;;
9183139;Rechtmehring;828;435;393;789;39;34;82;159;449;124;320;704;56;;
9183140;Reichertsheim;690;374;316;657;33;46;57;115;387;102;275;588;44;;
9183143;Schönberg;354;218;136;344;10;20;42;56;118;29;89;325;20;;
9183144;Schwindegg;1,544;866;678;1,329;215;68;159;329;1,073;302;771;1,242;92;;
9183145;Taufkirchen;536;301;235;523;13;21;52;93;178;44;133;492;27;;
9183147;Unterreit;699;401;298;686;13;43;70;145;333;99;221;600;42;;
9183148;Waldkraiburg, Stadt;10,379;6,052;4,327;7,861;2,516;336;937;1,983;8,933;4,113;4,778;6,266;576;;
9183151;Zangberg;365;208;157;340;25;19;28;94;149;28;121;337;21;;
;;;;;;;;;;;;;;;;
9183;Mühldorf a.Inn;48,025;26,982;21,043;41,785;6,233;1,924;4,515;9,029;41,185;28,419;12,504;19,606;3,217;;
;;;;;;;;;;;;;;;;
9184112;Aschheim;3,933;2,053;1,880;3,144;787;80;273;622;13,428;651;12,770;3,282;511;;
9184113;Baierbrunn;1,073;548;525;914;159;24;70;216;1,288;114;1,173;959;119;;
9184114;Brunnthal;2,345;1,249;1,096;1,960;383;41;179;398;2,493;294;2,198;2,051;202;;
9184118;Feldkirchen;3,701;1,949;1,752;3,017;682;67;171;520;7,177;399;6,774;3,302;316;;
9184119;Garching b.München, Stadt;8,071;4,709;3,362;5,680;2,390;152;638;1,267;25,451;2,253;23,184;5,816;845;;
9184120;Gräfelfing;4,430;2,255;2,175;3,554;874;72;312;858;8,931;693;8,231;3,737;848;;
9184121;Grasbrunn;2,817;1,432;1,385;2,461;355;57;161;500;4,187;239;3,942;2,578;252;;
9184122;Grünwald;2,902;1,367;1,535;2,306;593;47;180;635;8,179;616;7,558;2,286;1,156;;
9184123;Haar;8,852;4,560;4,292;6,563;2,283;196;666;1,488;10,229;1,723;8,499;7,129;584;;
9184127;Höhenkirchen-Siegertsbrunn;4,460;2,277;2,183;3,768;690;104;283;786;1,444;362;1,081;4,098;232;;
9184129;Hohenbrunn;3,357;1,785;1,572;2,645;711;82;256;619;3,776;340;3,431;3,017;393;;
9184130;Ismaning;7,675;4,043;3,632;6,258;1,415;148;533;1,262;15,933;1,929;13,996;5,745;831;;
9184131;Kirchheim b.München;5,071;2,661;2,410;4,178;890;130;334;1,028;8,009;689;7,314;4,382;550;;
9184132;Neuried;3,270;1,680;1,590;2,729;539;66;216;640;2,330;236;2,090;3,034;249;;
9184134;Oberhaching;5,154;2,619;2,535;4,285;865;104;362;1,055;7,188;929;6,255;4,225;649;;
9184135;Oberschleißheim;4,953;2,688;2,265;3,753;1,200;106;355;870;6,701;624;6,069;4,328;280;;
9184136;Ottobrunn;8,721;4,498;4,223;6,765;1,952;176;624;1,580;8,826;1,045;7,774;7,676;781;;
9184137;Aying;2,379;1,275;1,104;1,955;422;71;188;384;1,405;360;1,044;2,019;136;;
9184138;Planegg;4,412;2,274;2,138;3,419;988;70;303;894;11,846;859;10,979;3,553;717;;
9184139;Pullach i.Isartal;2,772;1,429;1,343;2,290;480;39;195;522;8,901;523;8,374;2,249;373;;
9184140;Putzbrunn;2,601;1,338;1,263;2,097;504;51;215;503;3,258;291;2,965;2,310;192;;
9184141;Sauerlach;3,240;1,728;1,512;2,696;544;72;237;555;2,650;579;2,068;2,661;288;;
9184142;Schäftlarn;1,858;953;905;1,575;282;36;107;343;1,142;257;883;1,601;156;;
9184144;Straßlach-Dingharting;1,084;560;524;929;155;27;87;196;658;166;491;918;116;;
9184145;Taufkirchen;6,983;3,675;3,308;5,220;1,760;205;514;1,205;9,240;752;8,484;6,230;483;;
9184146;Neubiberg;4,830;2,459;2,371;4,021;808;90;285;877;10,132;558;9,563;4,272;288;;
9184147;Unterföhring;5,304;2,791;2,513;4,316;987;72;312;779;23,822;999;22,814;4,305;588;;
9184148;Unterhaching;10,775;5,564;5,211;8,345;2,426;176;667;1,803;9,107;1,241;7,863;9,534;720;;
9184149;Unterschleißheim, Stadt;13,143;7,010;6,133;10,193;2,944;242;935;2,283;15,757;2,250;13,496;10,890;896;;
;;;;;;;;;;;;;;;;
9184;München;140,166;73,429;66,737;111,036;29,068;2,803;9,658;24,688;233,488;50,076;183,258;90,082;13,751;;
;;;;;;;;;;;;;;;;
9185113;Aresing;1,235;698;537;1,186;49;66;98;252;671;120;551;1,115;66;;
9185116;Berg im Gau;604;337;267;565;39;37;55;112;457;107;349;497;27;;
9185118;Bergheim;889;526;363;782;107;37;75;179;73;19;54;870;14;;
9185123;Brunnen;726;412;314;684;42;42;71;123;220;66;154;660;31;;
9185125;Burgheim, Markt;1,989;1,124;865;1,848;141;103;190;346;1,318;384;931;1,605;124;;
9185127;Ehekirchen;1,427;791;636;1,342;85;92;138;287;681;224;455;1,203;87;;
9185131;Gachenbach;1,069;607;462;1,016;52;48;105;201;486;115;371;954;55;;
9185139;Karlshuld;2,596;1,467;1,129;2,458;138;117;261;461;832;316;515;2,280;126;;
9185140;Karlskron;2,384;1,347;1,037;2,254;129;119;195;448;1,528;188;1,340;2,196;91;;
9185143;Langenmosen;677;398;279;642;35;38;68;128;362;96;266;581;52;;
9185149;Neuburg a.d.Donau, Stadt;12,607;7,135;5,472;10,440;2,162;407;1,035;2,427;14,109;5,742;8,351;6,865;805;;
9185150;Oberhausen;1,290;714;576;1,210;80;56;104;270;675;122;553;1,168;68;;
9185153;Rennertshofen, Markt;2,073;1,158;915;1,918;155;86;207;389;795;341;454;1,732;93;;
9185157;Rohrenfels;738;438;300;661;77;29;65;134;156;26;130;712;28;;
9185158;Schrobenhausen, Stadt;7,320;4,168;3,152;6,318;1,000;311;687;1,349;9,073;3,349;5,721;3,971;552;;
9185163;Königsmoos;2,248;1,253;995;2,121;127;119;209;346;518;220;298;2,028;90;;
9185166;Waidhofen;1,056;574;482;999;56;63;92;204;337;79;257;977;47;;
9185168;Weichering;1,172;677;495;1,040;132;48;94;192;327;73;254;1,099;44;;
;;;;;;;;;;;;;;;;
9185;Neuburg-Schrobenhausen;42,100;23,824;18,276;37,484;4,606;1,818;3,749;7,848;32,618;20,694;11,897;21,406;2,400;;
;;;;;;;;;;;;;;;;
9186113;Baar-Ebenhausen;2,377;1,387;990;2,066;311;80;196;415;1,172;235;936;2,142;80;;
9186116;Ernsgaden;760;443;317;684;76;21;54;157;295;55;240;705;39;;
9186122;Geisenfeld, Stadt;5,160;3,058;2,102;4,259;898;188;499;851;3,264;1,119;2,143;4,041;281;;
9186125;Gerolsbach;1,511;845;666;1,420;91;87;134;293;542;176;365;1,335;90;;
9186126;Hettenshausen;985;537;448;844;141;34;82;161;314;67;246;918;49;;
9186128;Hohenwart, Markt;1,745;1,038;707;1,587;158;87;176;343;2,054;370;1,683;1,375;122;;
9186130;Ilmmünster;961;537;424;906;55;45;73;195;142;44;98;917;43;;
9186132;Jetzendorf;1,346;720;626;1,247;99;46;125;237;498;138;360;1,208;56;;
9186137;Manching, Markt;5,835;3,397;2,438;4,860;975;193;469;1,006;7,582;1,064;6,513;4,770;228;;
9186139;Münchsmünster;1,427;887;540;1,284;142;67;139;266;1,296;168;1,127;1,258;59;;
9186143;Pfaffenhofen a.d.Ilm, Stadt;11,161;6,065;5,096;9,525;1,633;333;907;2,053;11,616;3,871;7,740;7,289;830;;
9186144;Pörnbach;963;591;372;880;83;56;81;174;258;87;170;876;49;;
9186146;Reichertshausen;2,227;1,222;1,005;2,069;158;79;190;440;576;175;401;2,052;82;;
9186147;Reichertshofen, Markt;3,578;2,032;1,546;3,165;412;152;303;638;2,206;592;1,611;2,986;179;;
9186149;Rohrbach;2,657;1,424;1,233;2,413;244;100;219;488;933;293;640;2,364;151;;
9186151;Scheyern;2,028;1,112;916;1,875;153;84;146;390;688;233;455;1,795;120;;
9186152;Schweitenkirchen;2,474;1,403;1,071;2,038;435;83;242;411;1,693;442;1,249;2,032;149;;
9186158;Vohburg a.d.Donau, Stadt;3,787;2,269;1,518;3,279;507;160;330;638;2,084;639;1,440;3,148;174;;
9186162;Wolnzach, Markt;5,116;2,879;2,237;4,488;626;181;486;933;4,967;1,377;3,589;3,739;385;;
;;;;;;;;;;;;;;;;
9186;Pfaffenhofen a.d.Ilm;56,098;31,846;24,252;48,889;7,197;2,076;4,851;10,089;42,180;22,264;19,887;33,831;3,166;;
;;;;;;;;;;;;;;;;
9187113;Amerang;1,601;841;760;1,476;124;72;154;315;1,276;275;995;1,326;144;;
9187114;Aschau i.Chiemgau;1,897;936;961;1,682;215;65;157;409;1,831;618;1,213;1,279;201;;
9187116;Babensham;1,286;693;593;1,222;64;65;128;232;378;125;250;1,161;77;;
9187117;Bad Aibling, Stadt;7,692;3,966;3,726;6,520;1,166;226;642;1,509;7,429;2,155;5,266;5,537;614;;
9187118;Bernau a.Chiemsee;2,305;1,138;1,167;2,010;294;70;201;450;1,735;520;1,214;1,785;191;;
9187120;Brannenburg;2,268;1,192;1,076;1,981;286;77;190;438;1,918;486;1,432;1,782;202;;
9187121;Breitbrunn a.Chiemsee;509;259;250;464;45;24;54;103;231;79;151;429;56;;
9187122;Bruckmühl, Markt;6,798;3,625;3,173;6,081;715;258;607;1,359;4,902;1,609;3,291;5,189;470;;
9187123;Chiemsee;96;53;43;47;49;*;10;26;298;66;232;30;25;;
9187124;Edling;1,981;1,052;929;1,791;190;89;194;390;862;245;612;1,736;115;;
9187125;Eggstätt;1,133;585;548;990;143;48;108;204;1,310;259;1,051;874;88;;
9187126;Eiselfing;1,321;719;602;1,217;104;70;155;239;1,160;236;911;1,085;87;;
9187128;Bad Endorf, Markt;3,199;1,656;1,543;2,738;459;118;289;625;2,584;841;1,742;2,357;261;;
9187129;Bad Feilnbach;3,206;1,677;1,529;2,909;296;127;328;581;1,803;767;1,035;2,439;262;;
9187130;Feldkirchen-Westerham;4,341;2,343;1,998;3,789;552;152;355;838;3,423;945;2,478;3,396;314;;
9187131;Flintsbach a.Inn;1,261;638;623;1,151;108;48;114;248;550;159;390;1,102;86;;
9187132;Frasdorf;1,231;627;604;1,128;103;55;112;228;643;188;455;1,043;110;;
9187134;Griesstätt;1,240;658;582;1,137;103;64;128;221;476;160;315;1,080;84;;
9187137;Großkarolinenfeld;3,011;1,612;1,399;2,771;240;91;268;648;858;301;556;2,710;168;;
9187138;Gstadt a.Chiemsee;430;229;201;367;63;*;31;93;292;74;218;356;49;;
9187139;Halfing;1,142;612;530;1,032;110;59;103;225;772;206;565;936;82;;
9187142;Schechen;2,022;1,065;957;1,864;158;91;207;361;953;281;671;1,741;152;;
9187145;Höslwang;470;243;227;449;21;33;42;72;177;35;142;435;33;;
9187148;Kiefersfelden;2,139;1,049;1,090;1,816;322;85;176;446;1,381;647;733;1,492;183;;
9187150;Kolbermoor, Stadt;7,947;4,208;3,739;6,617;1,325;278;684;1,516;5,400;1,429;3,970;6,518;541;;
9187154;Neubeuern, Markt;1,548;785;763;1,449;99;58;150;297;1,110;268;841;1,280;131;;
9187156;Nußdorf a.Inn;965;496;469;898;67;35;82;211;878;179;699;786;86;;
9187157;Oberaudorf;1,738;835;903;1,438;300;53;132;336;1,250;512;737;1,225;180;;
9187159;Pfaffing;1,665;899;766;1,520;144;88;155;317;1,071;219;848;1,446;102;;
9187162;Prien a.Chiemsee, Markt;3,696;1,816;1,880;3,162;534;104;302;731;5,483;1,328;4,152;2,368;503;;
9187163;Prutting;1,112;553;559;1,069;43;50;96;186;541;116;425;996;89;;
9187164;Ramerberg;603;326;277;584;19;25;56;135;179;40;139;563;32;;
9187165;Raubling;4,833;2,559;2,274;4,396;436;203;413;984;4,538;1,171;3,361;3,661;388;;
9187167;Riedering;2,161;1,141;1,020;1,982;179;87;212;402;791;279;511;1,882;179;;
9187168;Rimsting;1,298;627;671;1,184;114;45;101;240;1,088;233;855;1,065;122;;
9187169;Rohrdorf;2,362;1,253;1,109;2,151;211;98;203;445;2,796;516;2,279;1,846;193;;
9187170;Rott a.Inn;1,744;927;817;1,652;92;83;143;347;1,326;344;979;1,400;112;;
9187172;Samerberg;1,035;557;478;931;104;43;90;200;412;165;247;870;70;;
9187173;Schonstett;572;301;271;543;29;21;55;89;504;93;409;479;42;;
9187174;Söchtenau;1,091;566;525;1,021;70;55;118;195;470;124;346;967;79;;
9187176;Soyen;1,183;632;551;1,124;59;59;108;239;467;166;291;1,017;76;;
9187177;Stephanskirchen;3,789;1,894;1,895;3,423;364;111;298;750;4,444;590;3,854;3,199;285;;
9187179;Tuntenhausen;2,983;1,658;1,325;2,727;256;160;321;546;2,249;638;1,609;2,345;206;;
9187181;Vogtareuth;1,281;689;592;1,208;73;61;108;263;1,553;251;1,300;1,030;75;;
9187182;Wasserburg a.Inn, Stadt;5,376;2,813;2,563;4,480;894;197;474;1,111;9,365;2,618;6,660;2,758;430;;
9187186;Albaching;767;413;354;732;35;42;85;139;320;72;248;695;47;;
;;;;;;;;;;;;;;;;
9187;Rosenheim;102,328;53,416;48,912;90,923;11,377;3,965;9,139;19,939;83,477;57,529;25,777;44,795;8,022;;
;;;;;;;;;;;;;;;;
9188113;Berg;2,659;1,392;1,267;2,264;395;71;242;568;1,785;549;1,233;2,110;275;;
9188117;Andechs;1,441;753;688;1,222;216;32;120;262;1,166;249;917;1,192;102;;
9188118;Feldafing;1,322;646;676;1,072;250;32;91;310;891;197;692;1,125;151;;
9188120;Gauting;7,375;3,754;3,621;5,993;1,377;146;496;1,482;5,207;1,209;3,992;6,165;592;;
9188121;Gilching;7,789;4,097;3,692;6,422;1,363;142;545;1,442;7,626;1,269;6,353;6,519;642;;
9188124;Herrsching a.Ammersee;3,592;1,826;1,766;2,879;712;102;267;780;3,445;998;2,446;2,593;442;;
9188126;Inning a.Ammersee;1,739;927;812;1,472;266;29;109;357;1,617;262;1,355;1,477;203;;
9188127;Krailling;2,664;1,367;1,297;2,128;533;44;166;537;3,379;343;3,035;2,321;277;;
9188132;Seefeld;2,782;1,457;1,325;2,370;411;70;200;535;3,620;568;3,051;2,214;240;;
9188137;Pöcking;1,883;932;951;1,600;283;36;132;411;1,499;264;1,233;1,619;180;;
9188139;Starnberg, Stadt;8,411;4,127;4,284;6,731;1,672;160;603;1,658;10,960;2,597;8,358;5,814;1,158;;
9188141;Tutzing;3,333;1,644;1,689;2,865;467;80;267;735;2,490;719;1,767;2,614;340;;
9188144;Weßling;1,886;979;907;1,619;267;36;165;425;5,746;372;5,369;1,514;198;;
9188145;Wörthsee;1,779;907;872;1,558;220;35;109;377;867;181;686;1,598;146;;
;;;;;;;;;;;;;;;;
9188;Starnberg;48,655;24,808;23,847;40,195;8,432;1,015;3,512;9,879;50,298;19,625;30,639;29,027;4,946;;
;;;;;;;;;;;;;;;;
9189111;Altenmarkt a.d.Alz;1,841;993;848;1,683;158;85;194;375;1,289;254;1,033;1,587;109;;
9189113;Bergen;1,783;909;874;1,619;164;76;152;394;711;272;439;1,510;120;;
9189114;Chieming;1,791;927;864;1,596;195;80;140;368;1,645;418;1,226;1,373;172;;
9189115;Engelsberg;1,058;596;462;998;60;68;122;197;761;182;579;876;65;;
9189118;Fridolfing;1,821;995;826;1,691;129;85;190;361;3,576;835;2,739;986;126;;
9189119;Grabenstätt;1,660;806;854;1,508;152;48;155;352;1,865;333;1,531;1,327;139;;
9189120;Grassau, Markt;2,475;1,271;1,204;2,118;357;103;194;473;1,609;567;1,041;1,908;213;;
9189124;Inzell;1,796;936;860;1,608;188;82;151;344;839;537;301;1,259;153;;
9189126;Kienberg;587;356;231;563;24;18;51;114;269;61;208;526;44;;
9189127;Kirchanschöring;1,295;714;581;1,220;75;71;117;209;740;269;471;1,026;80;;
9189129;Marquartstein;1,055;502;553;936;119;27;85;244;959;264;695;791;110;;
9189130;Nußdorf;968;498;470;919;49;36;73;204;516;79;437;889;51;;
9189133;Obing;1,814;1,006;808;1,677;137;83;185;347;1,003;386;616;1,428;152;;
9189134;Palling;1,451;825;626;1,358;93;74;132;261;570;187;382;1,264;80;;
9189135;Petting;943;544;399;903;39;54;121;166;377;126;251;817;67;;
9189137;Pittenhart;727;406;321;690;37;26;83;132;182;64;118;663;43;;
9189139;Reit im Winkl;908;482;426;659;249;28;92;178;969;530;438;378;141;;
9189140;Ruhpolding;2,507;1,212;1,295;2,163;344;124;246;520;1,714;967;745;1,540;253;;
9189141;Schleching;593;304;289;545;48;34;44;136;260;124;136;468;52;;
9189142;Schnaitsee;1,520;844;676;1,415;105;88;169;280;547;249;295;1,271;108;;
9189143;Seeon-Seebruck;1,830;979;851;1,674;156;79;199;384;1,233;392;840;1,438;159;;
9189145;Siegsdorf;3,203;1,682;1,521;2,898;304;115;287;690;3,449;889;2,559;2,314;233;;
9189146;Staudach-Egerndach;458;234;224;435;23;27;37;90;151;35;116;423;32;;
9189148;Surberg;1,254;643;611;1,178;76;64;112;237;280;75;205;1,179;65;;
9189149;Tacherting;2,347;1,360;987;2,163;184;114;221;431;1,666;460;1,205;1,887;128;;
9189150;Taching a.See;825;435;390;788;37;35;87;147;181;50;130;775;41;;
9189152;Tittmoning, Stadt;2,405;1,320;1,085;2,170;235;128;280;463;2,554;772;1,781;1,633;158;;
9189154;Traunreut, Stadt;9,012;4,952;4,060;7,293;1,719;316;746;1,859;13,607;4,863;8,737;4,149;492;;
9189155;Traunstein, Stadt;7,789;4,025;3,764;6,679;1,109;224;682;1,478;15,644;3,618;12,021;4,171;1,039;;
9189157;Trostberg, Stadt;4,746;2,668;2,078;4,190;555;152;452;999;5,006;1,573;3,431;3,173;326;;
9189159;Übersee;1,960;1,000;960;1,842;118;86;160;384;1,019;402;616;1,558;182;;
9189160;Unterwössen;1,167;586;581;1,068;99;64;113;227;424;206;218;961;97;;
9189161;Vachendorf;719;376;343;689;30;34;56;144;164;41;123;678;42;;
9189162;Waging a.See, Markt;2,904;1,608;1,296;2,608;296;112;273;523;1,963;788;1,175;2,116;208;;
9189165;Wonneberg;665;360;305;629;36;45;76;106;92;33;59;632;30;;
;;;;;;;;;;;;;;;;
9189;Traunstein;69,877;37,354;32,523;62,173;7,699;2,885;6,477;13,817;67,834;52,410;15,388;17,465;5,510;;
;;;;;;;;;;;;;;;;
9190111;Altenstadt;1,347;736;611;1,218;129;60;153;276;968;194;774;1,153;86;;
9190113;Antdorf;561;288;273;541;20;19;56;98;200;39;161;522;44;;
9190114;Bernbeuren;1,039;590;449;1,012;27;62;124;207;288;139;147;900;57;;
9190115;Bernried am Starnberger See;897;437;460;757;139;24;54;219;1,012;247;765;650;66;;
9190117;Böbing;735;399;336;702;33;49;75;123;315;113;202;622;46;;
9190118;Burggen;688;392;296;675;13;32;80;112;110;50;60;638;29;;
9190120;Eberfing;471;255;216;447;24;16;41;91;142;49;93;422;30;;
9190121;Eglfing;342;176;166;331;11;18;29;54;358;39;319;303;22;;
9190126;Habach;477;250;227;451;26;17;35;98;239;52;187;425;34;;
9190129;Hohenfurch;672;361;311;642;30;34;50;135;153;51;102;621;32;;
9190130;Hohenpeißenberg;1,535;805;730;1,456;78;67;134;356;580;174;406;1,361;72;;
9190131;Huglfing;937;486;451;890;47;41;85;210;596;120;475;817;80;;
9190132;Iffeldorf;1,051;549;502;947;104;16;71;234;334;82;252;969;73;;
9190133;Ingenried;436;230;206;412;24;30;45;65;126;41;85;395;23;;
9190135;Oberhausen;717;374;343;691;26;28;68;170;149;46;103;671;39;;
9190136;Obersöchering;697;365;332;672;25;45;69;128;328;74;254;623;50;;
9190138;Pähl;1,018;512;506;945;73;34;95;231;639;127;510;891;85;;
9190139;Peißenberg, Markt;5,412;2,936;2,476;4,877;534;203;498;1,039;3,144;1,304;1,840;4,108;313;;
9190140;Peiting, Markt;4,902;2,718;2,184;4,502;397;210;461;1,028;5,452;1,896;3,553;3,006;302;;
9190141;Penzberg, Stadt;7,230;3,780;3,450;6,195;1,033;187;483;1,428;11,188;3,695;7,485;3,535;480;;
9190142;Polling;1,314;668;646;1,240;74;50;124;265;513;116;397;1,198;77;;
9190143;Prem;330;178;152;310;20;16;41;64;294;62;232;268;31;;
9190144;Raisting;928;477;451;866;62;37;92;189;481;109;372;819;69;;
9190145;Rottenbuch;692;382;310;650;42;50;96;105;331;97;234;595;46;;
9190148;Schongau, Stadt;5,153;2,865;2,288;4,152;1,000;199;504;950;8,072;2,242;5,828;2,911;429;;
9190149;Schwabbruck;416;233;183;399;17;25;50;71;90;28;62;388;16;;
9190151;Schwabsoien;597;302;295;574;23;30;46;123;305;58;247;539;30;;
9190152;Seeshaupt;1,030;513;517;910;120;20;79;212;916;221;695;809;134;;
9190153;Sindelsdorf;548;273;275;520;28;20;45;109;114;44;70;504;25;;
9190154;Steingaden;1,063;586;477;984;79;70;133;177;588;287;301;776;95;;
9190157;Weilheim i.OB, Stadt;8,962;4,633;4,329;7,738;1,218;277;744;1,757;10,260;3,168;7,091;5,794;905;;
9190158;Wessobrunn;813;444;369;765;48;41;80;138;528;155;373;657;51;;
9190159;Wielenbach;1,266;662;604;1,196;70;65;124;229;355;87;268;1,179;77;;
9190160;Wildsteig;518;281;237;493;25;37;71;69;89;56;33;462;24;;
;;;;;;;;;;;;;;;;
9190;Weilheim-Schongau;54,794;29,136;25,658;49,160;5,619;2,129;4,935;10,760;49,257;33,901;15,337;20,892;3,972;;
;;;;;;;;;;;;;;;;
91;Oberbayern;1,987,059;1,057,438;929,621;1,599,373;386,837;53,880;156,832;337,706;2,144,964;1,841,180;301,964;145,788;143,630;;
;;;;;;;;;;;;;;;;
9261000;Landshut;29,473;15,837;13,636;23,343;6,114;706;2,512;4,892;38,900;13,334;25,533;16,137;2,123;;
;;;;;;;;;;;;;;;;
9262000;Passau;18,602;9,711;8,891;15,620;2,978;445;1,687;3,424;39,568;12,472;27,073;6,130;2,027;;
;;;;;;;;;;;;;;;;
9263000;Straubing;19,568;10,843;8,725;16,098;3,467;593;1,735;3,669;29,999;11,647;18,335;7,919;1,683;;
;;;;;;;;;;;;;;;;
9271111;Aholming;1,041;592;449;961;80;46;103;186;220;82;138;959;49;;
9271113;Auerbach;966;540;426;917;49;47;94;191;354;103;251;863;49;;
9271114;Außernzell;631;381;250;582;49;37;83;96;260;52;208;579;27;;
9271116;Bernried;1,977;1,116;861;1,900;77;97;196;393;364;173;190;1,804;80;;
9271118;Buchhofen;383;236;147;353;30;24;37;68;105;23;82;360;25;;
9271119;Deggendorf, Stadt;13,385;7,302;6,083;11,561;1,815;359;1,237;2,561;23,513;6,926;16,573;6,459;1,312;;
9271122;Grafling;1,183;654;529;1,141;42;51;109;214;338;81;257;1,102;48;;
9271123;Grattersdorf;558;307;251;539;19;29;42;125;63;28;35;530;22;;
9271125;Hengersberg, Markt;3,181;1,800;1,381;2,854;324;135;277;586;4,303;946;3,356;2,235;232;;
9271126;Hunding;481;276;205;476;5;20;53;91;98;28;70;453;14;;
9271127;Iggensbach;870;490;380;853;17;48;82;166;150;56;94;814;32;;
9271128;Künzing;1,325;741;584;1,266;59;74;124;240;386;153;233;1,172;75;;
9271130;Lalling;694;396;298;671;23;35;58;144;172;71;101;623;44;;
9271132;Metten, Markt;1,657;871;786;1,535;122;65;137;311;803;169;634;1,488;93;;
9271135;Moos;1,069;621;448;990;79;68;87;195;557;169;388;900;52;;
9271138;Niederalteich;761;412;349;728;32;25;58;134;410;82;328;679;32;;
9271139;Oberpöring;508;297;211;487;21;21;32;93;325;41;284;467;27;;
9271140;Offenberg;1,432;785;647;1,368;64;79;104;280;859;213;646;1,219;70;;
9271141;Osterhofen, Stadt;4,922;2,767;2,155;4,526;391;228;453;979;4,263;1,652;2,610;3,270;337;;
9271143;Otzing;877;493;384;839;38;47;82;160;229;67;162;810;26;;
9271146;Plattling, Stadt;5,548;3,150;2,398;4,668;878;219;478;1,007;9,537;2,216;7,321;3,332;428;;
9271148;Schaufling;672;370;302;634;38;32;68;107;528;92;436;580;32;;
9271149;Schöllnach, Markt;2,044;1,150;894;1,985;59;128;215;398;1,118;480;637;1,564;128;;
9271151;Stephansposching;1,445;837;608;1,282;163;72;135;254;280;83;197;1,362;56;;
9271152;Wallerfing;627;354;273;579;48;42;56;124;238;79;159;548;43;;
9271153;Winzer, Markt;1,619;911;708;1,567;52;84;153;306;534;172;362;1,447;78;;
;;;;;;;;;;;;;;;;
9271;Deggendorf;49,856;27,849;22,007;45,262;4,574;2,112;4,553;9,409;50,007;34,078;15,911;15,778;3,411;;
;;;;;;;;;;;;;;;;
9272116;Eppenschlag;377;218;159;374;3;29;40;66;95;39;56;338;28;;
9272118;Freyung, Stadt;2,708;1,466;1,242;2,466;242;99;234;574;5,568;1,305;4,263;1,403;317;;
9272119;Fürsteneck;401;216;185;393;8;25;44;90;100;31;69;370;24;;
9272120;Grafenau, Stadt;3,180;1,737;1,443;3,015;165;142;300;671;4,156;1,284;2,871;1,896;296;;
9272121;Grainet;1,003;530;473;971;32;65;94;166;362;145;216;858;54;;
9272122;Haidmühle;521;282;239;480;41;28;56;109;233;128;105;393;45;;
9272126;Hinterschmiding;989;557;432;951;37;46;99;192;313;131;182;858;59;;
9272127;Hohenau;1,410;797;613;1,398;12;80;142;277;477;154;323;1,256;73;;
9272128;Innernzell;650;398;252;627;23;44;66;116;431;99;332;551;38;;
9272129;Jandelsbrunn;1,496;841;655;1,456;39;97;143;262;1,594;376;1,218;1,120;74;;
9272134;Mauth;873;499;374;857;16;34;73;193;242;133;109;740;52;;
9272136;Neureichenau;1,792;976;816;1,736;55;97;196;328;1,306;542;764;1,250;113;;
9272138;Perlesreut, Markt;1,169;656;513;1,136;33;65;126;213;633;224;409;945;91;;
9272139;Philippsreut;266;144;122;250;16;12;23;48;83;40;43;226;18;;
9272140;Ringelai;753;425;328;746;7;36;69;156;256;80;176;673;40;;
9272141;Röhrnbach, Markt;1,779;977;802;1,724;55;84;195;322;2,397;527;1,870;1,252;120;;
9272142;Saldenburg;852;485;367;844;8;35;86;182;225;86;139;766;31;;
9272143;Sankt Oswald-Riedlhütte;1,102;578;524;1,087;15;59;103;249;248;133;115;969;58;;
9272145;Schöfweg;533;333;200;503;30;22;49;112;154;55;99;478;29;;
9272146;Neuschönau;913;531;382;893;19;51;101;155;506;143;363;770;57;;
9272147;Schönberg, Markt;1,611;902;709;1,549;62;89;167;309;1,613;440;1,173;1,171;117;;
9272149;Spiegelau;1,427;796;631;1,336;91;66;116;321;742;282;460;1,145;114;;
9272150;Thurmansbang;996;584;412;957;39;37;81;196;409;136;273;860;64;;
9272151;Waldkirchen, Stadt;4,387;2,363;2,024;4,242;144;213;428;851;3,156;1,242;1,914;3,145;355;;
9272152;Zenting;469;271;198;426;43;21;50;84;305;82;223;387;27;;
;;;;;;;;;;;;;;;;
