Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;3024719375;0.02366841;1247808456;;;2193641901;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423110;RT <=7.5t Euro-I;diesel;RT ≤7.5t;HGV D Euro-I;790268;0.001992239;3818581009;3818581009;3818581009;1166544795;1172059655;1167422295;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423130;RT <=7.5t Euro-III;diesel;RT ≤7.5t;HGV D Euro-III;6860098125;0.016024211;3818581009;3818581009;3818581009;1146217823;1136229873;1162809372;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423210;RT >7.5-12t Euro-I;diesel;RT >7.5-12t;HGV D Euro-I;1007905438;0.000396565;3818097687;3818581009;3817131805;1189321756;1147903323;1246311665;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423230;RT >7.5-12t Euro-III;diesel;RT >7.5-12t;HGV D Euro-III;8709678125;0.003007169;3818574524;3818581009;3818561935;131182611;1288277745;1345042825;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423310;RT >12-14t Euro-I;diesel;RT >12-14t;HGV D Euro-I;3946534063;7.00E-05;3810468674;3818581009;379736824;1321156621;1210907817;1448180437;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423330;RT >12-14t Euro-III;diesel;RT >12-14t;HGV D Euro-III;3448577188;0.000289917;3818060303;3818581009;3817019653;1407048345;1346475959;1474163651;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423410;RT >14-20t Euro-I;diesel;RT >14-20t;HGV D Euro-I;7660401875;0.000115294;3808395386;381848526;3796131516;1350374818;1138409376;1587086201;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423430;RT >14-20t Euro-III;diesel;RT >14-20t;HGV D Euro-III;659932.5;0.001426681;3813716507;3818577194;380408783;1399163008;1299316287;1503010988;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423510;RT >20-26t Euro-I;diesel;RT >20-26t;HGV D Euro-I;1281293;5.47E-05;3817467117;3818581009;3815283585;2004661083;1831713319;2223878384;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
