Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
29	15:30:52	15:30:52	15:30:52	15:30:52	15:30:52	15:30:52			15:30:52	15:30:52	15:30:53	15:30:53	15:30:53	15:30:53	15:30:53	15:30:53			15:30:54	15:30:54		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
30	15:30:54	15:30:54	15:30:54	15:30:54	15:30:54	15:30:54	15:30:54	15:30:54	15:30:54	15:30:54	15:30:56	15:30:56	15:30:56	15:30:56	15:30:56	15:30:56	15:30:56	15:30:56	15:30:57	15:30:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
31	15:30:57	15:30:57	15:30:57	15:30:57	15:30:57	15:30:57			15:30:57	15:30:57	15:30:59	15:30:59	15:30:59	15:30:59	15:30:59	15:30:59			15:31:00	15:31:00		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
32	15:31:00	15:31:00	15:31:00	15:31:00	15:31:00	15:31:00			15:31:00	15:31:00	15:31:02	15:31:02	15:31:02	15:31:02	15:31:02	15:31:02			15:31:03	15:31:03		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
33	15:31:03	15:31:03	15:31:03	15:31:03	15:31:03	15:31:03			15:31:03	15:31:03	15:31:05	15:31:05	15:31:05	15:31:05	15:31:05	15:31:05			15:31:05	15:31:05		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
34	15:31:06	15:31:06	15:31:06	15:31:06	15:31:06	15:31:06			15:31:06	15:31:06	15:31:08	15:31:08	15:31:08	15:31:08	15:31:08	15:31:08			15:31:09	15:31:09		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
35	15:31:09	15:31:09	15:31:09	15:31:09	15:31:09	15:31:09			15:31:09	15:31:09	15:31:10	15:31:10	15:31:10	15:31:10	15:31:10	15:31:10			15:31:11	15:31:11		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
36	15:31:12	15:31:12	15:31:12	15:31:12	15:31:12	15:31:12			15:31:12	15:31:12	15:31:13	15:31:13	15:31:13	15:31:13	15:31:13	15:31:13			15:31:14	15:31:14		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
37	15:31:14	15:31:14	15:31:14	15:31:14	15:31:14	15:31:14			15:31:14	15:31:14	15:31:16	15:31:16	15:31:16	15:31:16	15:31:16	15:31:16			15:31:17	15:31:17		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
38	15:31:17	15:31:17	15:31:17	15:31:17	15:31:17	15:31:17			15:31:17	15:31:17	15:31:19	15:31:19	15:31:19	15:31:19	15:31:19	15:31:19			15:31:20	15:31:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
